"id","kategorie","frage","option_a","option_b","option_c","option_d","option_e","richtig","erklaerung","is_free","mehrfach"
"85","Kynologie","Was bedeutet es, wenn ein Hund seinen Kopf über die Schultern eines anderen Hundes legt?","Das Verhalten hat keine Aussage.","Der Hund fordert den anderen Hund zum Spielen auf.","Er versucht, den anderen zu dominieren.","Das macht ein Hund nur beim anderen Geschlecht.","","c","","0","0"
"86","Kynologie","Zwei Hunde stehen sich im Abstand fixierend gegenüber. Was hat dieses Verhalten für eine Bedeutung?","Ein erwiderter Blickkontakt kann zu einer Auseinandersetzung führen.","Das ist eine übliche Begrüßungsgeste: Sie sagen „Guten Tag“.","Der Rüde steigert seinen Sexualtrieb.","Die Hunde wollen nur gemeinsam spielen.","","a","","0","0"
"87","Kynologie","Ein Hund läuft mit seiner Rute wedelnd auf einen Menschen zu. Ist er dann immer freundlich gestimmt?","Ja, es bedeutet einzig und allein: Ich will mit Dir spielen!","Das Wedeln mit der Rute hat gar nichts zu sagen.","Nein, es kann auch ein negativ erregter Hund sein.","Ja, das Wedeln mit der Rute ist immer ein Ausdruck freundlicher Stimmung.","","c","","0","0"
"88","Kynologie","Welche Gesten sind Anzeichen von Aggression ohne Zeichen von Angst oder Stress?","Er gähnt und leckt sich häufig über die Nase.","Er hat die Ohren nach vorne gestellt und zieht die Lefzen hoch.","Der Hund macht sich klein und versucht zu fliehen.","Er hechelt und hat dabei den Schwanz eingeklemmt und die Ohren nach hinten gelegt.","","b","","0","0"
"89","Kynologie","Welches der aufgezählten Anzeichen ist kein Hinweis auf Angstzustände eines Hundes?","Der Hund bellt wie verrückt.","Der Hund verkriecht sich.","Der Hund meidet eine Person oder einen Gegenstand.","Der Hund steht schwanzwedelnd an der Haustür.","","d","","0","0"
"90","Kynologie","Was ist Stress?","Eine sogenannte Immunreaktion des Körpers.","Die unspezifische Reaktion des Körpers auf unterschiedlichste Belastungen.","Mangelnde körperliche Kondition.","Eine allergische Reaktion.","","b","","0","0"
"91","Kynologie","Was ist für das Prägungslernen kennzeichnend?","Die aufgenommene Information kann leicht durch die Aufnahme weiterer Informationen verändert werden.","Die Lernfähigkeit bleibt bis ins hohe Alter gleich stark bestehen.","Die aufgenommene Information ist meist nahezu irreversibel.","Die aufgenommene Information ist in Bruchteilen von Sekunden auf Dauer verloren.","","c","","0","0"
"92","Kynologie","Sie rufen Ihren Hund bei einem Spaziergang in einer ungefährlichen Situation zurück, aber er kommt nicht. Was tun Sie?","Ich rufe solange bis er kommt.","Ich benutze mehrfach die Pfeife.","Ich mache ihn auf mich aufmerksam, laufe schnell weg, verstecke mich und bestätige ihn für sein Kommen.","Er bekommt abends kein Futter.","","c","","0","0"
"93","Kynologie","Welche der folgenden Bestimmungen gelten in allen Bundesländern?","Es ist verboten, einen Hund freilaufend neben dem Fahrrad laufen zu lassen.","Es ist verboten, einen Hund neben dem Kraftfahrzeug laufen zu lassen.","Es ist verboten, einen Hund freilaufend neben dem Pferd laufen zu lassen.","Es ist grundsätzlich verboten, einen Hund in der Stadt freilaufen zu lassen.","","b","","0","0"
"94","Kynologie","Welche Aussage zum Unterschied zwischen Sozialisation und Bindung ist falsch?","Sozialisation bezeichnet den allgemeinen Vorgang der sozialen Identifikation beim Hund, Bindung seine spezielle Beziehung zu einzelnen Menschen oder Hunden","Die Sozialisation ist weitgehend irreversibel, die Bindung austauschbar.","Bindung an einen Menschen setzt eine Sozialisation voraus, umgekehrt hingegen bedingt die Sozialisation nicht zwangsläufig eine Bindung.","Die Stärke der Sozialisation ist abhängig von der Rangbeziehung zwischen Mensch und Hund, die Stärke der Bindung hingegen ist davon unabhängig.","","d","","0","0"
"95","Kynologie","Welche Aussage über die Vorteile des Prägungslernens trifft zu?","Nur im Stress werden neue Informationen aufgenommen.","Es fällt dem Hund leichter, auf Veränderungen in der Umwelt zu reagieren.","Der Hund zeigt Ängstlichkeit gegenüber anderen Menschen.","Positive und negative Erfahrungen werden im sensibelsten Entwicklungsstadium des Hundes gesammelt.","","d","","0","0"
"96","Kynologie","Was kann passieren, wenn man mit dem Hund eine bestimmte Übung immer nur am gleichen Ort macht?","Er wird die Übung an anderen Orten gar nicht oder nicht so gut ausführen.","Lernen ist nicht von einem bestimmten Ort abhängig. Er wird die Übung, wenn man sie häufig an einem Ort geübt hat, überall sicher ausführen können.","Der Ort ist nicht wichtig im Hundetraining. Wichtig ist, dass man immer zur selben Tageszeit übt, damit sich der Hund an einen geregelten Tagesablauf gewöhnt.","Er wird bald nicht mehr an diesen Ort gehen wollen, weil ihm langweilig ist.","","a","","0","0"
"97","Kynologie","Welches Triebverhalten darf während der Verweisübung nicht ausgelöst werden?","Spieltrieb","Beutetrieb","Wehrtrieb","Fresstrieb","","c","","0","0"
"98","Kynologie","Worüber nimmt ein Hund eine Umgebung hauptsächlich wahr?","Über das Gehör.","Über die Augen.","Über das Gefühl.","Über die Nase.","","d","","0","0"
"99","Kynologie","Wie wird ein Kommando eingeübt?","Nur über das Gehör.","Nur über Körperkontakt.","Nur über Sichtzeichen.","Über Gehör, Körpersprache und Sichtzeichen.","","d","","0","0"
"100","Unfallverhütung / Sicherheit im Einsatz","Welcher der nachfolgend aufgeführten Gegenstände zählt nicht zur persönlichen Schutzausrüstung (PSA) für einen Trümmereinsatz?","Schutzhelm.","Funktionsunterwäsche.","Sicherheitsschuhe (Klasse S3).","Schutzhandschuhe.","","b","","1","0"
"101","Unfallverhütung / Sicherheit im Einsatz","Wie wird ein Rettungshund bei der Flächensuche vor Jagdfeuer geschützt?","Durch einen implantierten Mikrochip.","Durch die Erkennungsmarke am Halsband.","Durch Leuchtstreifen am Halsband.","Durch das Tragen einer Kenndecke.","","d","","1","0"
"102","Unfallverhütung / Sicherheit im Einsatz","Nach jedem Einsatz ist zur Wahrnehmung der Sicherheit welche Aussage zutreffend?","Die Verpflegung der Einsatzkräfte ist zu organisieren.","Es ist eine Kontrolle der Vollzähligkeit aller Einsatzkräfte durchzuführen.","Es ist eine tierärztliche Untersuchung der Hunde zu veranlassen.","Mit den eingesetzten Kraftfahrzeugen ist ein Sicherheitscheck durchzuführen.","","b","","1","0"
"103","Unfallverhütung / Sicherheit im Einsatz","Welche der nachfolgend aufgezählten Verhaltensweisen ist während des Einsatzes verboten?","Das Betreten des Einsatzgebietes ohne Auftrag.","Das hygienische Reinigen der Hände nach der Suche.","Das Funken mit der Einsatzleitung.","Das Betreten des Einsatzleitfahrzeuges.","","a","","1","0"
"104","Unfallverhütung / Sicherheit im Einsatz","Welche der nachfolgend aufgezählten Verhaltensweisen ist während eines Trümmersucheinsatzes nicht erlaubt?","Den Hund ohne Kenndecke auf die Trümmer einzusetzen.","Alleine, ungesichert in unübersichtliche Lagen zu gehen.","Den Hund während der Suche über den Trümmerkegel zu dirigieren.","Mit anderen Einsatzkräften zu funken.","","b","","1","0"
"105","Unfallverhütung / Sicherheit im Einsatz","Welchen Ausrüstungsgegenstand müssen Rettungshundeteams zur Personensicherung im Trümmereinsatz mitführen?","Taschenmesser.","Sicherungsleine.","Koppel.","Leuchtpistole.","","b","","0","0"
"106","Unfallverhütung / Sicherheit im Einsatz","Worauf ist zu achten, wenn Leinen/Seile über scharfe Kanten geführt werden müssen?","Auf Gleitschutz.","Auf den Schutz der Kanten durch ein Kantenschutzgerät.","Auf Benutzung eines Seilkolbens.","Auf Leinen- bzw. Seilschutz.","","d","","0","0"
"107","Unfallverhütung / Sicherheit im Einsatz","Was muss bei der Benutzung eines Auffanggurtes als Absturzsicherung beachtet werden?","Ein Auffanggurt darf zur Absturzsicherung generell nicht verwendet werden.","Es muss darauf geachtet werden, dass der Auffanggurt angenehm sitzt.","Der Auffanggurt darf nur in Kombination mit einem Auffanggerät benutzt werden.","Der Auffanggurt darf nur in Kombination mit einer Seilklemme benutzt werden.","","c","","0","0"
"108","Unfallverhütung / Sicherheit im Einsatz","Was ist beim Nachbetanken eines Stromerzeugers zu beachten?","Der Motor muss während des Betankens abgestellt werden.","Der Motor kann während des Betankens in Betrieb sein.","Der Benzinhahn muss vor dem Betanken geschlossen sein.","Der Benzinhahn muss beim Betanken offen sein.","","a","","0","0"
"109","Unfallverhütung / Sicherheit im Einsatz","Wer ist für die Vollständigkeit und Funktionsfähigkeit der persönlichen Schutzausrüstung (PSA)verantwortlich?","Die Ausbildungsleitung.","Die Staffelleitung.","Die Einsatzkraft.","Die Geschäftsführung der Hilfsorganisation.","","c","","0","0"
"110","Unfallverhütung / Sicherheit im Einsatz","Sie werden zu einem Rettungshundeeinsatz alarmiert. Wie verhalten Sie sich auf der Fahrt mit Ihrem Privatfahrzeug zur Dienststelle?","Ich schalte die Warnblinkanlage an, um den anderen Verkehrsteilnehmern zu signalisieren, dass ich es eilig habe.","Ich fahre unter Einhaltung der Verkehrsregeln zur Dienststelle.","Ich fahre schnellstmöglich zur Dienststelle.","Rote Ampeln und Verkehrsschilder beachte ich nicht, weil Gefahr im Verzug ist.","","b","","0","0"
"111","Unfallverhütung / Sicherheit im Einsatz","Wie müssen akute Gefahrenquellen, z.B. eine Stolperfalle durch eine Drahtschlinge, beseitigt werden?","Drahtschlingen sind keine akuten Stolperfallen und sind deshalb nicht weiter zu beachten.","Solche Gefahrenquellen sind sofort an die Einsatzleitung zu melden.","Solche Gefahrenstellen kennzeichnen, wenn möglich sofort beseitigen.","Alle eingesetzten Kräfte sollten sofort über Funk informiert werden.","","c","","0","0"
"112","Unfallverhütung / Sicherheit im Einsatz","In den Trümmern befinden sich abgerissene und/oder offene Stromleitungen. Welche Aussage ist zutreffend?","Es besteht keine Gefahr, da bei solchen Schäden sofort durch die Energieversorger alle Versorgungsleitungen zum Gebäude gekappt werden.","Die Spannungsfreiheit der Leitungen ist sichergestellt, da ja die Leitungen abgerissen sind.","Es handelt sich um einen Gefahrenbereich und daher muss sofort eine Absperrung eingerichtet werden und durch Fachkräfte die Spannungsfreiheit festgestellt werden.","Für die elektrischen Leitungen sind Fachkräfte zuständig. Ich brauche mich darum nicht zu kümmern.","","c","","0","0"
"113","Sprechfunk","Was bedeutet die Abkürzung „BOS“?","Behörden und Organisationen mit Sicherheitsaufgaben.","Bund und Organisationen mit Sicherheitsaufgaben.","Behörden und Ordnungsämter mit Sicherheitsaufgaben.","Bundes- und Ordnungsämter mit Sicherheitsaufgaben.","","a","","1","0"
"114","Sprechfunk","Welche Redewendung sollte im Funkverkehr nicht verwendet werden?","Kommen!","Verstanden!","Hallo, wer ist da?","Wiederholen Sie!","","c","","1","0"
"115","Sprechfunk","Im Funkverkehr sind Regeln zu beachten! Was sollte vermieden werden?","Deutlich und nicht zu schnell sprechen.","Den Gesprächsteilnehmer mit „Sie“ ansprechen.","Das Buchstabieren sollte vermieden werden.","Es sollten möglichst viele Abkürzungen verwendet werden, um Zeit zu sparen.","","d","","1","0"
"116","Sprechfunk","BOS-Funk ist bei Großschadensereignissen und Katastrophen ein unverzichtbares Medium für eine unabhängige Kommunikation. Welche der nachfolgenden Aussagen trifft zu?","Mobilfunknetze ermöglichen die gleiche Aufgabe.","BOS-Funk ist geschaffen worden, um der Presse direkte Informationen geben zu können.","BOS-Funkkanäle sind einer geschlossenen Benutzergruppe zugewiesen.","BOS-Funkkanäle sind einer offenen Benutzergruppe zugewiesen.","","c","","1","0"
"117","Sprechfunk","Um eine bestmögliche Reichweite zu erreichen, sollten Handfunkgeräte in einer besond eren Trageweise getragen werden. Welche Trageweise ist am effektivsten?","Das Gerät sollte an der Schulter getragen werden.","Das Gerät sollte am Gürtel getragen werden.","Das Gerät sollte in der Jackentasche verstaut sein.","Das Gerät sollte in der Beintasche der Hose verstaut sein.","","a","","1","0"
"118","Sprechfunk","Welche Aussage über die Notwendigkeit von Funkrufnamen ist richtig?","Mit den Funkrufnamen werden die verschiedenen Funkstellen eindeutig identifiziert und unterschieden.","Durch Funkrufnamen ist ein qualitativ besseres Funknetz zu betreiben.","Durch die Funkrufnamen kann man Funkgeräte besser finden.","Jede Einheit kann sich selbstständig einen Funkrufnamen aussuchen.","","a","","0","0"
"119","Sprechfunk","Während eines Funkgespräches teilt Ihnen die Gegenstelle mit, Sie mögen „über Draht“ kommen. Was ist gemeint?","Die Verständigung ist nicht optimal, sie sollen eine andere Funkfrequenz wählen.","Sie sollen Ihren Gesprächsteilnehmer über eine Telefonverbindung anrufen.","Sie sollen einen Telefondraht zwischen Ihnen und dem Gesprächsteilnehmer verlegen lassen.","Sie sollen das Handfunkgerät an das Ladekabel anschließen.","","b","","0","0"
"120","Sprechfunk","Was bedeutet die Abkürzung „FMS“?","Funkmitteilungssystem","Fernmeldesystem","Funkmodulationssystem","Funkmeldesystem","","d","","0","0"
"121","Sprechfunk","Auf der zugewiesenen Gesprächsgruppe ist viel Funkverkehr und kaum durchzukommen. Sie haben aber eine wichtige Meldung an die Einsatzleitung durchzugeben. Was machen Sie?","Warten, bis keiner mehr spricht und ich dran bin.","Warteschlangenbetrieb betreiben, d.h. ich halte die Sprechfunktaste so lange gedrückt bis ich das „Piep“, die Sprechaufforderung, erhalte.","Immer wieder die Gesprächstaste drücken bis ich das „Piep“, die Sprechaufforderung, erhalte.","Ich suche mir eine andere Gesprächsgruppe und versuche dort die Einsatzleitung zu erreichen.","","b","","0","0"
"122","Sprechfunk","Während eines Einsatzes kommen Sie mit einem Sprechfunker zusammen, der wie Sie ein Funkgerät trägt. In diesem Einsatz wird der gesamte Sprechfunkverkehr auf einem Kanal abgewickelt. Sie selbst werden nun vom Einsatzleiter über Funk angesprochen. Worauf müssen Sie achten, bevor Sie antworten?","Es besteht Wechselverkehr. Ich weise den Einsatzleiter daraufhin, dass er eine Erlaubnis bei der Leitstelle beantragen muss.","Der andere Sprechfunker muss seine Rauschsperre abstellen.","Den eigenen Standort so wählen, dass es zu keiner Rückkopplung mit dem anderen Funkgerät kommt.","Es muss die richtige Taste am Gerät gedrückt werden, damit es zu keiner Rückkopplung kommt.","","c","","0","0"
"123","Sprechfunk","Sie erhalten einen Suchauftrag in einem Waldgebiet. Worauf ist in Bezug auf Einschränkungen in der Kommunikation per Funk zu achten.","Gar keine, da Funkwellen durch die Luft übertragen werden.","Ich kann nur auf Freiflächen und Waldschneisen funken.","Durch dichten Waldbewuchs kann es zu Einschränkungen im Netzbetrieb (TMO) kommen. Ggf. muss die Staffelleitung den Betrieb im Einsatzstellenmodus (DMO) anordnen.","Solange ich das Handsprechfunkgerät in optimaler Trageweise mit mir führe, gibt es keine Einschränkungen.","","c","","0","0"
"124","Sprechfunk","Sie erhalten ein Funkgerät und werden von FLORIAN A-Stadt gerufen. Welcher BOS-Teilnehmer / Organisation ruft Sie?","Bundespolizei","Landespolizei","Feuerwehr","THW","","c","","0","0"
"125","Sprechfunk","Sie erhalten ein Funkgerät und werden von AKKON A-Stadt gerufen. Welcher BOS-Teilnehmer / Organisation ruft Sie?","Johanniter-Unfall-Hilfe","Polizei","Deutsches Rotes Kreuz","THW","","a","","0","0"
"126","Sprechfunk","Wie verhalten Sie sich bei Funkstörungen?","Einen Standortwechsel vornehmen und die Trageposition des Funkgerätes am Körper überprüfen.","Ich schraube die Antenne ab und wieder dran, um einen möglichen Wackelkontakt zu beheben.","Ich mache nichts und warte die Funkstörung ab.","Das Gerät ausschalten, nach 3 Minuten wieder einschalten, danach sollte die Funkstörung behoben sein.","","a","","0","0"
"127","Sprechfunk","Was wird unter Funkdisziplin verstanden?","Einsatzleitung niemals ohne die Anrede „Herr“ oder „Frau“ anfunken.","Auf keinen Fall ohne vorherige Aufforderung der Einsatzleitung funken.","Einhalten der korrekten Formulierungen, „Erst denken – drücken – kurz warten – dann sprechen“, Vorredner vor dem Antworten aussprechen lassen, Funkspruch so kurz wie möglich und so umfassend wie nötig abwickeln.","Jeder Funkspruch der Einsatzleitung ist förmlich zu wiederholen.","","c","","0","0"
"128","Sprechfunk","Bei Erhalt des Handsprechfunkgerätes sollten Sie folgende Funktionsprüfung durchführen:","Das Gerät erst einmal komplett auseinander- und wieder zusammenbauen.","Ich prüfe, ob der Halteclip nicht ausgeleiert ist.","Ich mache eine 30-minütige Funktionsprüfung gemäß Dienstvorschrift.","Ich kontrolliere Akkuladung und Antennenanschluss. Danach führe ich eine Sprechprobe durch.","","d","","0","0"
"129","Sprechfunk","Was müssen Sie bei der Funkübermittlung zum Datenschutz beachten?","Für die Nutzung von BOS-Funk ist der Datenschutz nicht relevant.","Datenschutz ist nur auf bestimmten Frequenzbereichen des BOS-Funkes vorhanden.","Für eine lückenlose Datenerhebung sollten Personennamen und -daten immer vollständig, d.h. mit Vor- und Zunamen sowie Geburtsdatum, genannt werden.","Personennamen und -daten sind nur in begründeten Fällen zu nennen.","","d","","0","0"
"130","Sprechfunk","Ein Funkgespräch wird beendet mit dem Wort:","Verstanden","Ende","Over","Roger","","b","","0","0"
"131","Sprechfunk","Eine Frage wird eingeleitet mit dem Wort/den Worten:","Kommen, ob verstanden","Frage","Wiederholen Sie","Was willst du","","b","","0","0"
"132","Sprechfunk","Ein Sprechfunkverkehr wird eröffnet durch:","Die Anrufantwort","Den Anruf","Den Einsatzleiter","Die Gegenstelle","","b","","0","0"
"133","Sprechfunk","Die unbefugte Weitergabe von Fernsprechgeheimnissen…","…ist nur bei dringenden Einsatznachrichten erlaubt.","…wird mit Freiheitsstrafe oder mit Geldstrafe bestraft.","…darf nur der Leiter der Fernmeldezentrale anordnen.","…ist kein Problem und kann jederzeit gemacht werden.","","b","","0","0"
"134","Sprechfunk","Was ist ein MRT-Gerät?","Ein Handsprechfunkgerät im 2m Band.","Ein Gerät, welches allein dem Sprechfunkbetrieb zur Einsatzstelle dient.","Ein fest eingebautes Fahrzeugfunkgerät.","Ein Magnetresonanztomograph.","","c","","0","0"
"135","Sprechfunk","Im Digitalfunknetz der BOS werden die Betriebsarten TMO und DMO unterschieden. Welche Aussage ist hierzu richtig?","Die Betriebsart TMO ist für Hilfsorganisationen nicht vorgesehen und wird nur von der Polizei verwendet.","Die Betriebsart DMO ist ausschließlich in Gebäuden zulässig.","In der Betriebsart DMO können zwei oder mehrere Teilnehmer direkt miteinander kommunizieren, ohne auf die Netzinfrastruktur selbst zugreifen zu müssen.","Die Betriebsart TMO darf nicht im 5 km Grenzbereich zu anderen Ländern wie Frankreich, Polen, Niederlande, Österreich usw. genutzt werden.","","c","","0","0"
"136","Sprechfunk","Welche Einrichtung ist der funkbetriebliche Mittelpunkt eines Funkverkehrsbereiches?","Die große Relaisfunkstelle.","Die Leitstelle.","Das Regierungspräsidium.","Die Technische Betriebsstelle des Bundeslandes.","","b","","0","0"
"137","Sprechfunk","Wie kann man im Digitalfunk einen Notruf auslösen?","Durch Drücken der Kennung „0“.","Durch Drücken der orangenen/roten Taste am Bedienteil oder Funkgerät.","Durch die Durchsage „Hier ist ein Notruf“.","Durch den Anruf über die Tastenkombination „112“.","","b","","0","0"
"138","Einsatztaktik Fläche","Wie ist die richtige Vorgehensweise bei einer Wegesuche?","Sie kreuzen ständig den Weg und schicken den Hund abwechselnd rechts und links ins Gelände.","Sie gehen auf dem Weg und lassen den Hund bei Fuß laufen.","Sie gehen auf dem Weg und schicken den Hund zuerst rechts des Weges – am Ende des Weges drehen Sie um und schicken den Hund auf der anderen Seite des Weges ins Gelände.","Sie gehen auf dem Weg und schicken den Hund rechts bzw. links von diesem Weg ins Ge lände.","","d","","1","0"
"139","Einsatztaktik Fläche","Welcher Abstand zwischen den Suchteams wird i.d.R. bei einer Suchkette in der Fläche bei durchschnittlichem Bewuchs gewählt?","Ca. 50 m","Ca. 100 m","Ca. 150 m","Ca. 200 m","","a","","1","0"
"140","Einsatztaktik Fläche","Wie verhalten Sie sich beim Auffinden von Kleidungsstücken die nachweislich der gesuchten Person gehören?","Ich lasse die Kleidungsstücke liegen, um keine Fingerabdrücke zu hinterlassen. Merke mir aber den Fundort.","Gefundene Kleidungsstücke haben für die Suche keinerlei Bedeutung.","Gefundene Kleidungsstücke melde ich sofort der Einsatzleitung.","Ich nehme die Kleidungsstücke zur Übergabe an die Einsatzleitung mit.","","c","","1","0"
"141","Einsatztaktik Fläche","Welches ist das richtige Verhalten beim Auffinden einer leblosen Person?","Ich alarmiere sofort alle Hundeführer:innen, um den Einsatz abzubrechen.","Ich nehme sofort den Hund zurück, melde den Fund der Einsatzleitung und sperre den Fundort weiträumig ab.","Ich melde den Fund der Einsatzleitung, damit diese den Einsatz abbrechen kann.","Ich sperre den Fundort ab und rufe sofort ein PSNV-Team zur Überbringung der Todesnachricht.","","b","","1","0"
"142","Einsatztaktik Fläche","Wie ist die Anordnung von Suchteams bei einer Hang-Quer-Suche?","Die Teams suchen schräg nach hinten und unten versetzt, wobei das erste Team am weitesten vorne und oben sucht.","Die Teams suchen schräg nach oben und hinten versetzt, wobei das erste Team am weitesten vorne und unten sucht.","Die Teams suchen sich den optimalen Weg selbst.","Die Teams suchen in einer Suchkette mit einem Abstand von 60 m.","","b","","1","0"
"143","Einsatztaktik Fläche","In welcher der genannten Einsatzsituationen wählen Sie eine Wegesuche?","Wenn eine rollstuhlfahrende Person gesucht wird.","Wenn eine Person gesucht wird, die Pilze gesammelt hat.","Wenn eine im Wald arbeitende Person (z.B. Förster:in) gesucht wird.","Wenn eine Person mit suizidaler Absicht gesucht wird.","","a","","0","0"
"144","Einsatztaktik Fläche","Was ist eine Areal- / Parzellensuche in der Rettungshundearbeit?","Die Suche nach einem Grundstück für die Sucharbeit.","Das Absuchen eines besonderen Flurstückes.","Das Absuchen eines vorgegebenen und umrissdefinierten Geländes.","Das Absuchen eines Areals von genau 30 000 m² Fläche.","","c","","0","0"
"145","Einsatztaktik Fläche","Wie verhalten Sie sich, wenn Sie bei einem Sucheinsatz auf Rehwild treffen?","Ich binde den Hund an einen Baum und warte auf den Rückzug der Rehe.","Ich schicke den Hund in Richtung der Rehe, um diese zu vertreiben.","Ich bitte die Försterin, das Wild durch einen Warnschuss zu vertreiben.","Ich lasse den Hund kontrolliert weitersuchen und informiere die Einsatzleitung und anderen Suchteams.","","d","","0","0"
"146","Einsatztaktik Fläche","Sie treffen bei einem Sucheinsatz auf Schwarzwild. Wie verhalten Sie sich?","Ich binde den Hund an einen Baum und vertreibe das Schwarzwild mit Hilfe meiner Trillerpfeife.","Ich schicke den Hund in Richtung Schwarzwild, um dieses zu vertreiben.","Ich leine meinen Hund an, begebe mich mit diesem aus dem Gefahrenbereich und informiere die Einsatzleitung.","Ich lasse den Hund kontrolliert weitersuchen und informiere die Einsatzleitung.","","c","","0","0"
"147","Einsatztaktik Fläche","Bei welcher Einsatzsituation kann es empfehlenswert sein, zuerst eine Parzellen suche durchzuführen?","Wenn eine joggende Person vermisst wird.","Wenn eine Person vermisst wird, die Pilze gesammelt hat.","Wenn eine Person mit Kinderwagen vermisst wird.","Wenn eine stark gehbehinderte Person gesucht wird.","","b","","0","0"
"148","Einsatztaktik Fläche","Welchen Vorteil bietet die Wegesuche bei einem Rettungshundeeinsatz?","Der Weg ist auf der topografischen Karte gut erkennbar.","Der Weg ermöglicht eine eindeutige Vorgabe der Such- und Laufrichtung.","Der Hund kann auf dem Weg schneller laufen und suchen.","Der Hund kann aufgrund der Witterung besser suchen.","","b","","0","0"
"149","Einsatztaktik Fläche","Welchen Vorteil bietet die Parzellensuche bei einem Rettungshundeeinsatz?","Die Parzellensuche bietet ein günstiges Verhältnis von Zuverlässigkeit und Zeitaufwand.","Eine Parzellensuche bietet eine gute und stabile Funkverbindung.","Jedes Suchteam hat ein eigenes zugewiesenes Suchgebiet.","Eine Parzelle ist auf der topografischen Karte gut erkennbar.","","a","","0","0"
"150","Einsatztaktik Fläche","Welchen Nachteil hat eine Suchkette bei einem Rettungshundeeinsatz?","Das Suchgelände wird zu schnell abgesucht.","Bei einer Suchkette ist die Zusammenarbeit mit Rettungshundestaffeln anderer Hilfsorganisationen grundsätzlich nicht möglich.","Eine Suchkette ist langsam und personalintensiv.","In einer Suchkette ist keine gute Funkverbindung im BOS-Bereich herstellbar.","","c","","0","0"
"151","Einsatztaktik Fläche","Wann ist ein Primäreinsatz für Rettungshundeteams gegeben?","Wenn ein schnelles Absuchen des Suchgebietes gut möglich ist.","Wenn für die vermisste Person akute Lebensgefahr besteht.","Wenn es der erste Einsatz der Rettungshundestaffel im Kalenderjahr ist.","Wenn die vermisste Person seit einer Woche gesucht wird.","","b","","0","0"
"152","Einsatztaktik Fläche","Wann ist ein Sekundäreinsatz für Rettungshunde gegeben?","Wenn ein schnelles Absuchen des Suchgebietes gut möglich ist.","Wenn für die vermisste Person akute Lebensgefahr besteht.","Wenn ein Suchgebiet von einem zweiten Hundeteam abgesucht wird.","Wenn die vermisste Person seit einer Woche gesucht wird.","","d","","0","0"
"153","Einsatztaktik Fläche","Ist eine Einsatznachbereitung sinnvoll?","Nein, dies ist nicht erforderlich, da jeder Einsatz anders durchgeführt wird.","Ja, sie ist sinnvoll, um neue Erkenntnisse zur Vorbereitung für zukünftige Einsätze zu gewinnen.","Ja, sie ist jedoch nur sinnvoll, wenn alle Einsatzbeteiligten dazu Zeit haben.","Ja, sie sollte auf jeden Fall durchgeführt werden und für die Öffentlichkeitsarbeit mit der örtlichen Presse aufbereitet werden.","","b","","0","0"
"154","Einsatztaktik Fläche","Was wird als Grundlinie des Flächensuchgebietes bezeichnet?","Die gedachte vordere Querlinie zur Suchrichtung im Gelände, ab der die Suche des Teams zu beginnen hat.","Die Linie, in der alle Hundeführer bei einer Suchkette stehen.","Die Linie, an der sich die Einsatzfahrzeuge aufstellen.","Die topografisch tiefste Linie des Suchgebietes.","","a","","0","0"
"155","Einsatztaktik Fläche","Was wird als „letzter Sichtpunkt“ oder PLS (point last seen) bezeichnet?","Die Stelle im Gelände, an der das Rettungshundeteam bei der Suche im Wald aus dem Blickfeld des Einsatzleiters verschwindet.","Die Stelle, wo der Hund bei der Suche aus dem Blickfeld des Hundeführers verschwindet.","Die Stelle, wo die vermisste Person von Zeugen zuletzt gesehen wurde.","Die Stelle, wo die vermisste Person ihren Wohnort hat.","","c","","0","0"
"156","Einsatztaktik Fläche","Sie suchen nach einer suizidgefährdeten Person. Worauf müssen Sie achten?","Dass mein Hund nicht außer Sicht sucht und immer in meiner Nähe bleibt.","Dass ich bei Suchbeginn spezielle Schutzhandschuhe anziehe.","Ich achte dabei auf den Eigenschutz.","Bei einer solchen Einsatzlage gehe ich nur mit Polizeischutz in den Einsatz.","","c","","0","0"
"157","Einsatztaktik Fläche","Mit welcher Farbe ist die Weste der Einsatzabschnittsleitung gekennzeichnet?","Die Westenfarbe hängt davon ab, in welchem Bundesland ich bin.","Die Weste hat die Farbe Lila.","Die Farbe der Weste ist für die Rettungshundestaffel irrelevant.","Die Weste hat die Farbe Gelb.","","a","","0","0"
"158","Orientierung im Gelände","Welchem Zweck dient ein Koordinatengitter auf einer Karte?","Zur genauen Einteilung der Fläche in einzelne Suchgebiete.","Zur genauen Bestimmung einer beliebigen Position.","Zur genauen Bestimmung von Höhenangaben auf der Karte.","Zur quadratischen Abgrenzung von Suchgebieten.","","b","","1","0"
"159","Orientierung im Gelände","Wie wird eine Kompasszahl zu einem sichtbaren Geländepunkt ermittelt? Den Geländepunkt anvisieren und dann …","mich solange drehen, bis die Magnetnadel auf „N“ (Norden) eingespielt ist. Die gesuchte Kompasszahl an der „N“ (Norden) Markierung ablesen.","die Teilscheibe drehen, bis die Magnetnadel auf „N“ (Norden) eingespielt ist. Die gesuchte Kompasszahl an der Ablesemarke ablesen.","die Teilscheibe drehen bis „N“ (Norden) mit der Ablesemarke übereinstimmt. Die gesuchte Kompasszahl an der Ablesemarke ablesen.","mich solange drehen, bis die Magnetnadel auf „N“ (Norden) eingespielt ist. Die gesuchte Kompasszahl an der Ablesemarke ablesen.","","b","","1","0"
